instruction_id,instruction_number,rq_year,rq_semester,dept,area,year,subject,professor,url,credit,time,class_time,required,number_of_people,note,foreigner,mooc,team_teaching,online
1040,A01722101,20,1,영미문학·문화학과,전공,2.0,영.미문화의이해,박미정,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01722101,3,3,목 1 2 3,0,41,"기존 '영미문화사정'에서 과목명 변경, 동일교과목, 영어대교류",0,0,0,0
1041,A01722102,20,1,영미문학·문화학과,전공,2.0,영.미문화의이해,강문애,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01722102,3,3,화 7 8 9,0,47,"기존 '영미문화사정'에서 과목명 변경, 동일교과목, 영어대교류",0,0,0,0
1042,A01207701,20,1,영미문학·문화학과,전공,2.0,영국문학개관(1),이동일,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01207701,3,3,화 4 5 6,0,40,"영어대, 영어교육과 교류",0,0,0,0
1043,A01207702,20,1,영미문학·문화학과,전공,2.0,영국문학개관(1),Li Fang,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01207702,3,3,수 4 5 6,0,40,"영어대, 영어교육과 교류",1,0,0,0
1044,A01227201,20,1,영미문학·문화학과,전공,2.0,영작문,Anselm Sanghoon Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01227201,2,2,화 3 4,0,30,,1,0,0,0
1045,A01220101,20,1,영미문학·문화학과,전공,3.0,19세기미국소설,Paul Tewkesbury,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01220101,3,3,목 7 8 9,0,40,영어대 교류,1,0,0,0
1046,A01220102,20,1,영미문학·문화학과,전공,3.0,19세기미국소설,Paul Tewkesbury,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01220102,3,3,수 7 8 9,0,40,영어대 교류,1,0,0,0
1047,A01696101,20,1,영미문학·문화학과,전공,3.0,19세기영국소설,Steven George Mclean,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01696101,3,3,화 4 5 6,0,40,영어대 교류,1,0,0,0
1048,A01696102,20,1,영미문학·문화학과,전공,3.0,19세기영국소설,김지은,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01696102,3,3,목 4 5 6,0,42,영어대 교류,0,0,0,0
1049,A01619101,20,1,영미문학·문화학과,전공,3.0,Advanced English Writing,Anselm Sanghoon Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01619101,2,2,수 3 4,0,20,,1,0,0,0
1050,A01619102,20,1,영미문학·문화학과,전공,3.0,Advanced English Writing,Anselm Sanghoon Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01619102,2,2,수 5 6,0,21,,1,0,0,0
1051,A01312401,20,1,영미문학·문화학과,전공,3.0,American Drama,주하영,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01312401,3,3,화 1 2 3,0,40,"기존 '미국희곡'에서 과목명 변경, 동일교과목, 영어대교류",0,0,0,0
1052,A01312402,20,1,영미문학·문화학과,전공,3.0,American Drama,손동호,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01312402,3,3,수 1 2 3,0,40,"기존 '미국희곡'에서 과목명 변경, 동일교과목, 영어대교류",1,0,0,0
1053,A01247101,20,1,영미문학·문화학과,전공,3.0,FLEX영어(1),도해자,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01247101,2,2,금 1 2,0,30,영어특기자 수강금지,0,0,0,0
1054,A01247102,20,1,영미문학·문화학과,전공,3.0,FLEX영어(1),강병희,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01247102,2,2,금 5 6,0,30,영어특기자 수강금지,0,0,0,0
1055,A01322301,20,1,영미문학·문화학과,전공,3.0,미국시,박종숙,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01322301,3,3,월 4 5 6,0,40,영어대 교류,0,0,0,0
1056,A01377202,20,1,영미문학·문화학과,전공,3.0,영.미문학특강,이영심,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01377202,3,3,월 7 8 9,0,40,영어대 교류,0,0,0,0
1057,A01377203,20,1,영미문학·문화학과,전공,3.0,영.미문학특강,오은영,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01377203,3,3,목 7 8 9,0,40,영어대 교류,0,0,0,0
1058,A01417201,20,1,영미문학·문화학과,전공,4.0,English Debate,Anselm Sanghoon Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01417201,2,2,화 5 6,0,30,,1,0,0,0
1059,A01726201,20,1,영미문학·문화학과,전공,4.0,비평적글쓰기캡스톤디자인(1),김지은,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01726201,3,3,목 1 2 3,0,30,,0,0,0,0
1060,A01375201,20,1,영미문학·문화학과,전공,4.0,셰익스피어주제연구,도해자,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01375201,3,3,금 4 5 6,0,40,"기존 'Shakespeare(1)'에서 과목명 변경, 동일교과목, 영어대교류",0,0,0,0
1061,A01375202,20,1,영미문학·문화학과,전공,4.0,셰익스피어주제연구,최보람,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01375202,3,3,월 7 8 9,0,40,"기존 'Shakespeare(1)'에서 과목명 변경, 동일교과목, 영어대교류",0,0,0,0
1062,A01482301,20,1,영미문학·문화학과,전공,4.0,영.미문학과영상,강병희,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01482301,3,3,화 7 8 9,0,40,영어대 교류,0,0,0,0
1063,A01137103,20,1,영미문학·문화학과,이중(부)전공,2.0,드라마입문(1),강선자,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01137103,3,3,수 1 2 3,0,30,"1전공 수강금지, 영어대, 영어교육과 교류 (부전공자는 전공교류가 되지 않음)",0,0,0,0
1064,A01139104,20,1,영미문학·문화학과,이중(부)전공,2.0,영.미시입문(1),강문애,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01139104,3,3,화 4 5 6,0,30,"폐지된 '영문학산책'과 동일교과목, 영어전공 전필, 1전공 수강금지, 영어대, 영어교육과 교류 (부전공자는 전공교류가 되지 않음)",0,0,0,0
1065,A01138104,20,1,영미문학·문화학과,이중(부)전공,2.0,영어권소설입문(1),Li Fang,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01138104,3,3,목 4 5 6,0,30,"1전공 수강금지, 영어대, 영어교육과 교류 (부전공자는 전공교류가 되지 않음)",1,0,0,0
